"altura_fin_derecha","altura_fin_izquierda","altura_inicio_derecha","altura_inicio_izquierda","categoria","departamento_id","departamento_nombre","fuente","id","localidad_censal_id","localidad_censal_nombre","nombre","provincia_id","provincia_nombre"
998,999,900,901,"CALLE","14014","Capital","INDEC","1401401025420","14014010","Córdoba","GUACHIPAS","14","Córdoba"
628,629,600,601,"CALLE","14014","Capital","INDEC","1401401030290","14014010","Córdoba","MANUEL PINO","14","Córdoba"
199,200,1,2,"AV","02007","Comuna 1","INDEC","0200701001665","02000010","Ciudad Autónoma de Buenos Aires","AV PTE QUINTANA","02","Ciudad Autónoma de Buenos Aires"
1399,1400,1201,1202,"CALLE","02007","Comuna 1","INDEC","0200701001985","02000010","Ciudad Autónoma de Buenos Aires","BASAVILBASO","02","Ciudad Autónoma de Buenos Aires"
1699,1700,0,0,"CALLE","02007","Comuna 1","INDEC","0200701000290","02000010","Ciudad Autónoma de Buenos Aires","AIME PAINE","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02007","Comuna 1","INDEC","0200701003180","02000010","Ciudad Autónoma de Buenos Aires","CALLE S N","02","Ciudad Autónoma de Buenos Aires"
799,800,701,702,"CALLE","02007","Comuna 1","INDEC","0200701004370","02000010","Ciudad Autónoma de Buenos Aires","DEL CARMEN","02","Ciudad Autónoma de Buenos Aires"
299,300,201,202,"CALLE","02007","Comuna 1","INDEC","0200701006455","02000010","Ciudad Autónoma de Buenos Aires","IGR ENRIQUE BUTTY","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02007","Comuna 1","INDEC","0200701007490","02000010","Ciudad Autónoma de Buenos Aires","LETONIA","02","Ciudad Autónoma de Buenos Aires"
1799,1800,1601,1602,"CALLE","02007","Comuna 1","INDEC","0200701008400","02000010","Ciudad Autónoma de Buenos Aires","MOMPOX","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02007","Comuna 1","INDEC","0200701008860","02000010","Ciudad Autónoma de Buenos Aires","PABLO GIORELLO","02","Ciudad Autónoma de Buenos Aires"
199,200,1,2,"CALLE","02007","Comuna 1","INDEC","0200701008985","02000010","Ciudad Autónoma de Buenos Aires","PARERA","02","Ciudad Autónoma de Buenos Aires"
899,900,801,802,"CALLE","02007","Comuna 1","INDEC","0200701010520","02000010","Ciudad Autónoma de Buenos Aires","SGTO CABRAL","02","Ciudad Autónoma de Buenos Aires"
499,500,401,402,"CALLE","02007","Comuna 1","INDEC","0200701011125","02000010","Ciudad Autónoma de Buenos Aires","USPALLATA","02","Ciudad Autónoma de Buenos Aires"
399,400,0,0,"CALLE","02007","Comuna 1","INDEC","0200701011290","02000010","Ciudad Autónoma de Buenos Aires","VICTORIA OCAMPO","02","Ciudad Autónoma de Buenos Aires"
1999,2000,1901,1902,"CALLE","02007","Comuna 1","INDEC","0200701011330","02000010","Ciudad Autónoma de Buenos Aires","VIEYRA","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"AV","02007","Comuna 1","INDEC","0200701080010","02000010","Ciudad Autónoma de Buenos Aires","AV ANTARTIDA ARGENTINA","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"AV","02007","Comuna 1","INDEC","0200701080015","02000010","Ciudad Autónoma de Buenos Aires","AV ELVIRA RAWSON DE DELLEPIANE","02","Ciudad Autónoma de Buenos Aires"
1699,1700,1601,1602,"CALLE","02014","Comuna 2","INDEC","0201401000870","02000010","Ciudad Autónoma de Buenos Aires","ARTURO CAPDEVILLA","02","Ciudad Autónoma de Buenos Aires"
2399,2400,0,0,"AV","02014","Comuna 2","INDEC","0201401001380","02000010","Ciudad Autónoma de Buenos Aires","AV GRL GELLY Y OBES","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"AV","02014","Comuna 2","INDEC","0201401001760","02000010","Ciudad Autónoma de Buenos Aires","AV TOMAS A EDISON","02","Ciudad Autónoma de Buenos Aires"
1599,1600,0,0,"CALLE","02014","Comuna 2","INDEC","0201401001965","02000010","Ciudad Autónoma de Buenos Aires","BARRIENTOS","02","Ciudad Autónoma de Buenos Aires"
2699,2700,2601,2602,"CALLE","02014","Comuna 2","INDEC","0201401006765","02000010","Ciudad Autónoma de Buenos Aires","JOSE LEON PAGANO","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02014","Comuna 2","INDEC","0201401010585","02000010","Ciudad Autónoma de Buenos Aires","SIN CORRESPONDENCIA","02","Ciudad Autónoma de Buenos Aires"
3599,3600,3201,3202,"CALLE","02014","Comuna 2","INDEC","0201401010625","02000010","Ciudad Autónoma de Buenos Aires","SOLER","02","Ciudad Autónoma de Buenos Aires"
3199,3200,3101,3102,"CALLE","02021","Comuna 3","INDEC","0202101003445","02000010","Ciudad Autónoma de Buenos Aires","CARLOS GARDEL","02","Ciudad Autónoma de Buenos Aires"
399,400,1,2,"CALLE","02021","Comuna 3","INDEC","0202101008360","02000010","Ciudad Autónoma de Buenos Aires","MISIONES","02","Ciudad Autónoma de Buenos Aires"
129,130,1,2,"CALLE","02021","Comuna 3","INDEC","0202101010355","02000010","Ciudad Autónoma de Buenos Aires","SANCHEZ DE BUSTAMANTE","02","Ciudad Autónoma de Buenos Aires"
3399,3400,3151,3152,"CALLE","02028","Comuna 4","INDEC","0202801000890","02000010","Ciudad Autónoma de Buenos Aires","ASCASUBI","02","Ciudad Autónoma de Buenos Aires"
399,400,1,2,"AV","02028","Comuna 4","INDEC","0202801001050","02000010","Ciudad Autónoma de Buenos Aires","AV BENITO PEREZ GALDOS","02","Ciudad Autónoma de Buenos Aires"
2299,2300,2001,2002,"AV","02028","Comuna 4","INDEC","0202801001190","02000010","Ciudad Autónoma de Buenos Aires","AV DARACT","02","Ciudad Autónoma de Buenos Aires"
3299,3300,3201,3202,"AV","02028","Comuna 4","INDEC","0202801001455","02000010","Ciudad Autónoma de Buenos Aires","AV ISIDRO LOREA","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02028","Comuna 4","INDEC","0202801003075","02000010","Ciudad Autónoma de Buenos Aires","CALLE S N","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02028","Comuna 4","INDEC","0202801003085","02000010","Ciudad Autónoma de Buenos Aires","CALLE S N","02","Ciudad Autónoma de Buenos Aires"
3399,3400,3201,3202,"CALLE","02028","Comuna 4","INDEC","0202801003605","02000010","Ciudad Autónoma de Buenos Aires","CAYASTA","02","Ciudad Autónoma de Buenos Aires"
4299,4300,4001,4002,"CALLE","02028","Comuna 4","INDEC","0202801004350","02000010","Ciudad Autónoma de Buenos Aires","DEKAY","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02028","Comuna 4","INDEC","0202801005620","02000010","Ciudad Autónoma de Buenos Aires","FRANCISCO CAFFERATA","02","Ciudad Autónoma de Buenos Aires"
2699,2700,0,0,"CALLE","02028","Comuna 4","INDEC","0202801006110","02000010","Ciudad Autónoma de Buenos Aires","GUAL","02","Ciudad Autónoma de Buenos Aires"
2599,2600,2401,2402,"CALLE","02028","Comuna 4","INDEC","0202801006435","02000010","Ciudad Autónoma de Buenos Aires","INDALECIO GOMEZ","02","Ciudad Autónoma de Buenos Aires"
2599,2600,2501,2502,"CALLE","02028","Comuna 4","INDEC","0202801006800","02000010","Ciudad Autónoma de Buenos Aires","JOSE PAZOS","02","Ciudad Autónoma de Buenos Aires"
3599,3600,3501,3502,"CALLE","02028","Comuna 4","INDEC","0202801006935","02000010","Ciudad Autónoma de Buenos Aires","JUAN M THOME","02","Ciudad Autónoma de Buenos Aires"
699,700,601,602,"CALLE","02028","Comuna 4","INDEC","0202801007550","02000010","Ciudad Autónoma de Buenos Aires","LLORENTE","02","Ciudad Autónoma de Buenos Aires"
599,600,501,502,"CALLE","02028","Comuna 4","INDEC","0202801007625","02000010","Ciudad Autónoma de Buenos Aires","LOS TELARES","02","Ciudad Autónoma de Buenos Aires"
1199,1200,1101,1102,"CALLE","02028","Comuna 4","INDEC","0202801007660","02000010","Ciudad Autónoma de Buenos Aires","LUGO","02","Ciudad Autónoma de Buenos Aires"
2599,2600,2501,2502,"CALLE","02028","Comuna 4","INDEC","0202801007980","02000010","Ciudad Autónoma de Buenos Aires","MARCOS SEGUIN","02","Ciudad Autónoma de Buenos Aires"
2599,2600,2501,2502,"CALLE","02028","Comuna 4","INDEC","0202801008540","02000010","Ciudad Autónoma de Buenos Aires","MUTUALISMO","02","Ciudad Autónoma de Buenos Aires"
499,500,1,2,"CALLE","02028","Comuna 4","INDEC","0202801008965","02000010","Ciudad Autónoma de Buenos Aires","PARACAS","02","Ciudad Autónoma de Buenos Aires"
1199,1200,749,752,"CALLE","02028","Comuna 4","INDEC","0202801009375","02000010","Ciudad Autónoma de Buenos Aires","PILCOMAYO","02","Ciudad Autónoma de Buenos Aires"
299,300,201,202,"PJE","02028","Comuna 4","INDEC","0202801009475","02000010","Ciudad Autónoma de Buenos Aires","PJE S N","02","Ciudad Autónoma de Buenos Aires"
1199,1200,1101,1102,"CALLE","02028","Comuna 4","INDEC","0202801010020","02000010","Ciudad Autónoma de Buenos Aires","ROCHDALE","02","Ciudad Autónoma de Buenos Aires"
2599,2600,2501,2502,"CALLE","02028","Comuna 4","INDEC","0202801010815","02000010","Ciudad Autónoma de Buenos Aires","TIERRA DEL FUEGO","02","Ciudad Autónoma de Buenos Aires"
3299,3300,3201,3202,"CALLE","02028","Comuna 4","INDEC","0202801011475","02000010","Ciudad Autónoma de Buenos Aires","WILLIAM C MORRIS","02","Ciudad Autónoma de Buenos Aires"
3999,4000,3901,3902,"CALLE","02035","Comuna 5","INDEC","0203501000640","02000010","Ciudad Autónoma de Buenos Aires","ANGEL PELUFFO","02","Ciudad Autónoma de Buenos Aires"
3399,3400,3301,3302,"CALLE","02035","Comuna 5","INDEC","0203501002010","02000010","Ciudad Autónoma de Buenos Aires","BATHURST","02","Ciudad Autónoma de Buenos Aires"
4599,4600,4401,4402,"CALLE","02035","Comuna 5","INDEC","0203501002245","02000010","Ciudad Autónoma de Buenos Aires","BOGADO","02","Ciudad Autónoma de Buenos Aires"
3599,3600,3401,3402,"CALLE","02035","Comuna 5","INDEC","0203501005745","02000010","Ciudad Autónoma de Buenos Aires","GALLEGOS","02","Ciudad Autónoma de Buenos Aires"
3899,3900,3801,3802,"CALLE","02035","Comuna 5","INDEC","0203501006425","02000010","Ciudad Autónoma de Buenos Aires","INCA","02","Ciudad Autónoma de Buenos Aires"
699,700,501,502,"CALLE","02035","Comuna 5","INDEC","0203501006755","02000010","Ciudad Autónoma de Buenos Aires","JOSE JULIAN PEREZ","02","Ciudad Autónoma de Buenos Aires"
4399,4400,4301,4302,"CALLE","02035","Comuna 5","INDEC","0203501008705","02000010","Ciudad Autónoma de Buenos Aires","OBRERO ROBERTO NUNEZ","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02035","Comuna 5","INDEC","0203501010590","02000010","Ciudad Autónoma de Buenos Aires","SIN CORRESPONDENCIA","02","Ciudad Autónoma de Buenos Aires"
499,500,0,0,"CALLE","02042","Comuna 6","INDEC","0204201000170","02000010","Ciudad Autónoma de Buenos Aires","ACHAVAL","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"AV","02042","Comuna 6","INDEC","0204201001535","02000010","Ciudad Autónoma de Buenos Aires","AV LILLO","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"AV","02042","Comuna 6","INDEC","0204201001700","02000010","Ciudad Autónoma de Buenos Aires","AV ROENTGEN","02","Ciudad Autónoma de Buenos Aires"
599,600,547,548,"CALLE","02042","Comuna 6","INDEC","0204201002025","02000010","Ciudad Autónoma de Buenos Aires","BEADE","02","Ciudad Autónoma de Buenos Aires"
699,700,601,602,"CALLE","02042","Comuna 6","INDEC","0204201002155","02000010","Ciudad Autónoma de Buenos Aires","BERNAL","02","Ciudad Autónoma de Buenos Aires"
499,500,1,2,"CALLE","02042","Comuna 6","INDEC","0204201005430","02000010","Ciudad Autónoma de Buenos Aires","FEDERICO GARCIA LORCA","02","Ciudad Autónoma de Buenos Aires"
599,600,1,2,"CALLE","02042","Comuna 6","INDEC","0204201008355","02000010","Ciudad Autónoma de Buenos Aires","MIRO","02","Ciudad Autónoma de Buenos Aires"
99,100,1,2,"CALLE","02042","Comuna 6","INDEC","0204201009885","02000010","Ciudad Autónoma de Buenos Aires","REPUBLICA DE INDONESIA","02","Ciudad Autónoma de Buenos Aires"
419,420,1,2,"AV","02049","Comuna 7","INDEC","0204901001790","02000010","Ciudad Autónoma de Buenos Aires","AV VERNET","02","Ciudad Autónoma de Buenos Aires"
1299,1300,1201,1202,"CALLE","02049","Comuna 7","INDEC","0204901002075","02000010","Ciudad Autónoma de Buenos Aires","BELL VILLE","02","Ciudad Autónoma de Buenos Aires"
1499,1500,1401,1402,"CALLE","02049","Comuna 7","INDEC","0204901002400","02000010","Ciudad Autónoma de Buenos Aires","CABALLITO","02","Ciudad Autónoma de Buenos Aires"
599,600,159,160,"CALLE","02049","Comuna 7","INDEC","0204901002480","02000010","Ciudad Autónoma de Buenos Aires","CALCENA","02","Ciudad Autónoma de Buenos Aires"
2299,2300,2001,2002,"CALLE","02049","Comuna 7","INDEC","0204901002565","02000010","Ciudad Autónoma de Buenos Aires","CALLE S N","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02049","Comuna 7","INDEC","0204901002980","02000010","Ciudad Autónoma de Buenos Aires","CALLE S N","02","Ciudad Autónoma de Buenos Aires"
1199,1200,1101,1102,"CALLE","02049","Comuna 7","INDEC","0204901003350","02000010","Ciudad Autónoma de Buenos Aires","CAPERUCITA","02","Ciudad Autónoma de Buenos Aires"
1299,1300,1101,1102,"CALLE","02049","Comuna 7","INDEC","0204901003395","02000010","Ciudad Autónoma de Buenos Aires","CARICANCHA","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02049","Comuna 7","INDEC","0204901003405","02000010","Ciudad Autónoma de Buenos Aires","CARLOS BERG","02","Ciudad Autónoma de Buenos Aires"
0,0,0,0,"CALLE","02049","Comuna 7","INDEC","0204901003695","02000010","Ciudad Autónoma de Buenos Aires","CHARRUA","02","Ciudad Autónoma de Buenos Aires"
599,600,501,502,"CALLE","02049","Comuna 7","INDEC","0204901003765","02000010","Ciudad Autónoma de Buenos Aires","CIPOLLETTI","02","Ciudad Autónoma de Buenos Aires"
1199,1200,1101,1102,"CALLE","02049","Comuna 7","INDEC","0204901007110","02000010","Ciudad Autónoma de Buenos Aires","LA CAPITAL","02","Ciudad Autónoma de Buenos Aires"
1999,2000,0,0,"CALLE","02049","Comuna 7","INDEC","0204901009290","02000010","Ciudad Autónoma de Buenos Aires","PERGAMINO","02","Ciudad Autónoma de Buenos Aires"
1299,1300,1101,1102,"CALLE","02049","Comuna 7","INDEC","0204901009305","02000010","Ciudad Autónoma de Buenos Aires","PERRAULT","02","Ciudad Autónoma de Buenos Aires"
1299,1300,1201,1202,"CALLE","02049","Comuna 7","INDEC","0204901009790","02000010","Ciudad Autónoma de Buenos Aires","RAMON Y CAJAL","02","Ciudad Autónoma de Buenos Aires"
1999,2000,0,0,"CALLE","02049","Comuna 7","INDEC","0204901010640","02000010","Ciudad Autónoma de Buenos Aires","SOMELLERA","02","Ciudad Autónoma de Buenos Aires"
1899,1900,1801,1802,"CALLE","02049","Comuna 7","INDEC","0204901010825","02000010","Ciudad Autónoma de Buenos Aires","TIMBO","02","Ciudad Autónoma de Buenos Aires"
